epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5847,1.96453,5.48636,1.39136,0.01284,0.68182,0.49269,0.17439,1.90897,5.14455,1.19618,0.0001625,0.0001625,0.0001625
2,145.479,1.66354,3.50806,1.1886,0.01697,1,0.73573,0.31326,1.5681,4.69784,1.03554,0.000334716,0.000334716,0.000334716
3,217.615,1.44998,2.80888,1.12607,0.01217,0.65734,0.43514,0.13458,1.33865,4.74879,1.14526,0.000504044,0.000504044,0.000504044
4,288.5,1.49779,2.41868,1.13345,0.01078,0.58042,0.07903,0.02578,1.52695,4.4463,1.19693,0.000670484,0.000670484,0.000670484
5,359.058,1.43922,2.30475,1.14158,0.0149,1,0.63313,0.28021,1.53487,4.07986,1.23548,0.000834037,0.000834037,0.000834037
6,429.61,1.44935,2.08595,1.15087,0.90879,0.89117,0.96298,0.45607,1.5545,3.46287,1.29383,0.000994703,0.000994703,0.000994703
7,500.99,1.44944,1.93373,1.1373,0.91248,0.78909,0.9579,0.50087,1.56329,3.05586,1.34463,0.00115248,0.00115248,0.00115248
8,570.232,1.41914,1.8661,1.15597,0.8708,0.94406,0.90668,0.45693,1.70941,2.3041,1.44348,0.00117781,0.00117781,0.00117781
9,637.842,1.38489,1.69981,1.12258,0.74959,0.86364,0.77221,0.36782,2.16369,1.9777,1.88127,0.0011675,0.0011675,0.0011675
10,705.643,1.40133,1.62796,1.12852,0.90904,0.93329,0.90409,0.419,1.79877,1.74994,1.54537,0.00115719,0.00115719,0.00115719
11,773.206,1.37207,1.53533,1.12044,0.80053,0.87063,0.81726,0.40386,1.97613,1.6763,1.70243,0.00114688,0.00114688,0.00114688
12,841.856,1.41625,1.51399,1.13812,0.78403,0.90909,0.84117,0.31357,2.25667,1.60277,2.01564,0.00113656,0.00113656,0.00113656
13,911.012,1.39267,1.39205,1.14173,0.89828,1,0.97383,0.50976,1.56315,1.36992,1.38337,0.00112625,0.00112625,0.00112625
14,978.965,1.4227,1.34423,1.12453,0.82354,0.95455,0.8891,0.41714,1.89113,1.44166,1.61825,0.00111594,0.00111594,0.00111594
15,1048.46,1.36305,1.29335,1.10667,0.85439,0.95455,0.90718,0.42746,1.86798,1.4491,1.67252,0.00110563,0.00110563,0.00110563
16,1116.99,1.34844,1.30724,1.12752,0.91659,0.99373,0.98149,0.45557,1.80944,1.36427,1.56079,0.00109531,0.00109531,0.00109531
17,1184,1.2942,1.20643,1.09044,0.83166,0.95455,0.90625,0.38705,1.9782,1.37546,1.74093,0.001085,0.001085,0.001085
18,1250.87,1.33085,1.11911,1.09283,0.93602,0.92276,0.91905,0.36974,1.9744,1.36822,1.71493,0.00107469,0.00107469,0.00107469
19,1318.95,1.30486,1.08896,1.1201,0.91172,0.87063,0.90659,0.47416,1.83337,1.21413,1.65876,0.00106437,0.00106437,0.00106437
20,1388.17,1.30513,1.06731,1.07487,0.82555,0.95455,0.90397,0.39874,1.97855,1.24989,1.72621,0.00105406,0.00105406,0.00105406
21,1456.91,1.33182,1.03937,1.12694,0.82948,0.95455,0.92213,0.3779,2.0746,1.26105,1.80898,0.00104375,0.00104375,0.00104375
22,1529.8,1.3158,1.02812,1.12378,0.93152,0.95455,0.91473,0.4274,1.9287,1.1748,1.7014,0.00103344,0.00103344,0.00103344
23,1597.83,1.3084,0.98596,1.10119,0.84612,0.95455,0.91294,0.47996,1.80814,1.29089,1.62344,0.00102312,0.00102312,0.00102312
24,1665.97,1.25641,0.95318,1.0797,0.85486,0.95455,0.89945,0.3838,2.0705,1.31316,1.88489,0.00101281,0.00101281,0.00101281
25,1734.76,1.26002,0.89379,1.07362,0.84098,0.95455,0.89863,0.41619,2.04187,1.09048,1.83669,0.0010025,0.0010025,0.0010025
26,1802.97,1.23986,0.88235,1.06594,0.84841,0.95455,0.88819,0.36068,2.10281,1.21185,1.87215,0.000992188,0.000992188,0.000992188
27,1870.21,1.26532,0.89225,1.08522,0.90067,0.95455,0.91776,0.39188,2.04293,1.16943,1.805,0.000981875,0.000981875,0.000981875
28,1938.49,1.23966,0.85858,1.07736,0.84822,0.95455,0.91381,0.40027,2.01286,1.08291,1.80319,0.000971562,0.000971562,0.000971562
29,2007.11,1.2151,0.80092,1.05423,0.83111,0.95455,0.90846,0.40294,2.01478,1.17786,1.84635,0.00096125,0.00096125,0.00096125
30,2074.51,1.21841,0.82129,1.06258,0.87663,1,0.9925,0.49385,1.70023,1.04116,1.50888,0.000950937,0.000950937,0.000950937
31,2142.07,1.22744,0.80301,1.0519,0.78529,0.90909,0.81427,0.33669,2.05731,1.07151,1.80935,0.000940625,0.000940625,0.000940625
32,2210.11,1.27618,0.8288,1.08969,0.87055,1,0.94413,0.40876,1.84648,1.12688,1.62306,0.000930313,0.000930313,0.000930313
33,2278.09,1.18593,0.7721,1.04651,0.82459,0.95455,0.90713,0.41669,1.98085,1.05298,1.77729,0.00092,0.00092,0.00092
34,2345.63,1.19566,0.73394,1.05453,0.83022,0.95455,0.87633,0.45155,1.88333,1.02585,1.64777,0.000909688,0.000909688,0.000909688
35,2413.52,1.21208,0.74378,1.07119,0.87537,1,0.97533,0.43718,1.85504,0.93943,1.61311,0.000899375,0.000899375,0.000899375
36,2481.49,1.20529,0.76506,1.078,0.87748,1,0.97607,0.43127,1.7961,0.92375,1.59546,0.000889062,0.000889062,0.000889062
37,2549.59,1.20671,0.76801,1.05591,0.94866,1,0.97857,0.38843,2.04691,0.95094,1.78856,0.00087875,0.00087875,0.00087875
38,2617.55,1.21343,0.74767,1.07488,0.88867,0.95455,0.91247,0.41676,1.91268,0.93845,1.70279,0.000868437,0.000868437,0.000868437
39,2685.35,1.16776,0.71818,1.04547,0.87792,0.93862,0.90219,0.46896,1.7925,0.8711,1.59177,0.000858125,0.000858125,0.000858125
40,2753.16,1.17057,0.68522,1.06106,0.81972,0.95455,0.91646,0.44917,1.89396,0.88469,1.67559,0.000847813,0.000847813,0.000847813
41,2820.98,1.1357,0.67869,1.02291,0.83182,0.95455,0.87355,0.43278,1.82904,0.91103,1.67419,0.0008375,0.0008375,0.0008375
42,2889.31,1.15561,0.69243,1.04116,0.87801,1,0.93324,0.42553,1.88879,0.87363,1.66152,0.000827187,0.000827187,0.000827187
43,2957.27,1.14891,0.65498,1.02901,0.87496,1,0.96981,0.4484,1.87683,0.87781,1.68134,0.000816875,0.000816875,0.000816875
44,3025.33,1.14835,0.68305,1.04531,0.91423,1,0.98429,0.452,1.91208,0.87113,1.72331,0.000806562,0.000806562,0.000806562
45,3093.16,1.14985,0.67971,1.04139,0.82838,0.95455,0.9034,0.41487,1.90438,0.94083,1.71969,0.00079625,0.00079625,0.00079625
46,3161.65,1.14082,0.67018,1.02992,0.83378,0.95455,0.89404,0.44379,1.84308,0.88821,1.64965,0.000785938,0.000785938,0.000785938
47,3230.85,1.12625,0.64079,1.02291,0.84812,0.95455,0.92366,0.47473,1.83788,0.83452,1.63781,0.000775625,0.000775625,0.000775625
48,3299.87,1.12584,0.65909,1.04509,0.78521,0.90909,0.87075,0.41663,1.95917,0.98946,1.79386,0.000765313,0.000765313,0.000765313
49,3367.98,1.09275,0.62486,1.02809,0.78324,0.90909,0.84759,0.40803,1.98912,0.91267,1.85967,0.000755,0.000755,0.000755
50,3436.79,1.11832,0.63615,1.0286,0.83061,0.95455,0.9289,0.4425,1.92711,0.89647,1.78384,0.000744688,0.000744688,0.000744688
51,3505.05,1.11913,0.6292,1.0338,0.87536,1,0.9596,0.43599,2.05965,0.9559,1.86657,0.000734375,0.000734375,0.000734375
52,3573.37,1.14093,0.63765,1.04223,0.8903,1,0.95138,0.46711,1.79061,0.80769,1.62815,0.000724062,0.000724062,0.000724062
53,3641.4,1.15238,0.6333,1.05488,0.83253,0.95455,0.87439,0.37752,2.02018,0.92592,1.85416,0.00071375,0.00071375,0.00071375
54,3709.56,1.07805,0.63488,1.02259,0.88168,0.99527,0.96072,0.45619,1.87466,0.83909,1.71761,0.000703437,0.000703437,0.000703437
55,3777.75,1.08123,0.59924,1.01906,0.83079,0.95455,0.88249,0.39594,2.00319,0.91343,1.87751,0.000693125,0.000693125,0.000693125
56,3845.93,1.0664,0.5929,1.00027,0.83202,0.95455,0.84904,0.39314,1.90451,0.88549,1.7455,0.000682813,0.000682813,0.000682813
57,3913.85,1.05268,0.58107,1.00394,0.875,1,0.94213,0.45476,1.75042,0.81047,1.60123,0.0006725,0.0006725,0.0006725
58,3982,1.03489,0.57426,1.00218,0.78721,0.90909,0.81605,0.38369,2.04859,0.90308,1.95826,0.000662188,0.000662188,0.000662188
59,4050.11,1.0902,0.59334,1.02063,0.83054,0.95455,0.88334,0.43384,1.8951,0.80108,1.75559,0.000651875,0.000651875,0.000651875
60,4118.37,1.09774,0.59418,1.0405,0.78755,0.90909,0.81135,0.38438,2.04913,0.87494,1.90904,0.000641562,0.000641562,0.000641562
61,4186.46,1.02618,0.59396,1.01127,0.83041,0.95455,0.85192,0.40461,1.91881,0.81357,1.8226,0.00063125,0.00063125,0.00063125
62,4254.45,1.03865,0.5615,1.00788,0.83701,0.95455,0.86612,0.4137,1.96745,0.8203,1.86133,0.000620938,0.000620938,0.000620938
63,4322.56,1.03861,0.55837,1.0022,0.88256,1,0.91953,0.42518,1.82245,0.81722,1.71332,0.000610625,0.000610625,0.000610625
64,4390.45,1.00704,0.5495,0.9876,0.81238,0.90909,0.8208,0.43403,1.94408,0.79883,1.85929,0.000600313,0.000600313,0.000600313
65,4458.47,1.04504,0.58522,0.9926,0.81676,0.90909,0.85742,0.45826,1.84553,0.83183,1.79665,0.00059,0.00059,0.00059
66,4526.54,1.04097,0.57512,1.00389,0.84661,0.95455,0.88179,0.40841,1.94949,0.79551,1.86577,0.000579688,0.000579688,0.000579688
67,4594.58,0.98686,0.53109,0.97895,0.8975,1,0.94433,0.43039,1.91944,0.91707,1.82982,0.000569375,0.000569375,0.000569375
68,4662.66,1.02027,0.54384,0.99996,0.86943,0.95455,0.92109,0.45763,1.77504,0.80918,1.71835,0.000559062,0.000559062,0.000559062
69,4731.29,1.02169,0.53667,0.99295,0.87657,1,0.88676,0.39548,1.83876,0.85815,1.71179,0.00054875,0.00054875,0.00054875
70,4799.2,1.02984,0.54283,1.00589,0.87646,1,0.87794,0.3761,1.90204,0.83215,1.81184,0.000538438,0.000538438,0.000538438
71,4867,1.04802,0.55177,0.99899,0.87645,1,0.92807,0.47359,1.69872,0.78729,1.62527,0.000528125,0.000528125,0.000528125
72,4935.81,0.97434,0.51447,0.9724,0.8765,1,0.92434,0.41654,1.93983,0.83959,1.78834,0.000517813,0.000517813,0.000517813
73,5003.98,1.00134,0.53106,0.99173,0.87662,1,0.9555,0.46417,1.83248,0.77852,1.69766,0.0005075,0.0005075,0.0005075
74,5071.77,1.00489,0.52921,0.99204,0.87579,1,0.94338,0.45637,1.83202,0.80059,1.69896,0.000497188,0.000497188,0.000497188
75,5139.6,0.9611,0.52518,0.98632,0.87712,1,0.95184,0.46749,1.81699,0.79925,1.67654,0.000486875,0.000486875,0.000486875
76,5207.52,0.95267,0.51034,0.98494,0.87711,1,0.91854,0.42801,1.90966,0.89525,1.75013,0.000476562,0.000476562,0.000476562
77,5275.47,0.94362,0.49694,0.96599,0.87733,1,0.88332,0.36657,1.97347,0.90605,1.84111,0.00046625,0.00046625,0.00046625
78,5343.71,0.95422,0.50197,0.9748,0.87826,1,0.88676,0.41262,1.91397,0.86672,1.76962,0.000455937,0.000455937,0.000455937
79,5411.67,0.94617,0.5341,0.97325,0.87777,1,0.88676,0.39244,1.96914,0.87204,1.82829,0.000445625,0.000445625,0.000445625
80,5479.6,0.95708,0.53369,0.96109,0.87752,1,0.92688,0.42437,1.87513,0.84585,1.7704,0.000435312,0.000435312,0.000435312
81,5547.4,0.92817,0.49964,0.96112,0.87744,1,0.93599,0.40029,2.00761,0.84858,1.86961,0.000425,0.000425,0.000425
82,5615.65,0.947,0.48576,0.9698,0.87596,1,0.90557,0.42226,1.87534,0.82905,1.79699,0.000414688,0.000414688,0.000414688
83,5682.4,0.93209,0.48999,0.96418,0.87816,1,0.91349,0.41542,1.8574,0.82214,1.82068,0.000404375,0.000404375,0.000404375
84,5749.04,0.92521,0.49735,0.96745,0.87794,1,0.96293,0.42788,1.99435,0.87492,1.90862,0.000394063,0.000394063,0.000394063
85,5815.58,0.96005,0.51411,0.98408,0.87634,1,0.9635,0.45504,1.89488,0.85926,1.77295,0.00038375,0.00038375,0.00038375
86,5883.37,0.94382,0.52668,0.97484,0.87778,1,0.93031,0.3905,2.12011,0.92504,2.00507,0.000373437,0.000373437,0.000373437
87,5950.14,0.90196,0.47925,0.94335,0.87726,1,0.92375,0.41156,1.90709,0.85525,1.79605,0.000363125,0.000363125,0.000363125
88,6016.75,0.93914,0.48508,0.97474,0.875,1,0.95552,0.42891,1.98287,0.87803,1.8773,0.000352812,0.000352812,0.000352812
89,6083.54,0.91683,0.48864,0.9737,0.8775,1,0.9355,0.42746,1.89108,0.80891,1.77803,0.0003425,0.0003425,0.0003425
90,6150.05,0.89775,0.50339,0.96267,0.87958,1,0.91594,0.40015,1.95976,0.83981,1.85304,0.000332187,0.000332187,0.000332187
91,6216.77,0.91844,0.49691,0.9713,0.87711,1,0.93016,0.42777,1.89388,0.7897,1.79028,0.000321875,0.000321875,0.000321875
92,6283.38,0.89584,0.47844,0.949,0.87914,1,0.93988,0.43087,1.921,0.83794,1.85395,0.000311563,0.000311563,0.000311563
93,6349.96,0.85639,0.45368,0.93568,0.88648,1,0.9555,0.44598,1.90049,0.81133,1.81074,0.00030125,0.00030125,0.00030125
94,6416.35,0.87688,0.48081,0.9392,0.88614,1,0.96239,0.43997,1.94057,0.82586,1.8783,0.000290937,0.000290937,0.000290937
95,6482.95,0.87829,0.48159,0.9573,0.89031,1,0.95996,0.4447,1.88045,0.80645,1.80915,0.000280625,0.000280625,0.000280625
96,6549.58,0.84532,0.4436,0.95399,0.87778,1,0.92786,0.40626,1.93921,0.88351,1.84478,0.000270313,0.000270313,0.000270313
97,6616.1,0.8665,0.449,0.94151,0.87835,1,0.92786,0.42281,1.91521,0.83923,1.81198,0.00026,0.00026,0.00026
98,6682.74,0.87723,0.47793,0.95193,0.8753,1,0.90369,0.41247,1.95361,0.81358,1.88739,0.000249687,0.000249687,0.000249687
99,6749.29,0.84906,0.4505,0.95204,0.8762,1,0.89598,0.40997,1.89604,0.85832,1.8595,0.000239375,0.000239375,0.000239375
100,6816.27,0.888,0.48654,0.97032,0.87517,1,0.90342,0.41285,1.91729,0.86586,1.87973,0.000229063,0.000229063,0.000229063
101,6883.28,0.87766,0.45499,0.94005,0.87261,1,0.8965,0.40752,1.89426,0.85094,1.84663,0.00021875,0.00021875,0.00021875
102,6950,0.84816,0.46005,0.93872,0.87548,1,0.9214,0.43902,1.90193,0.87404,1.863,0.000208438,0.000208438,0.000208438
103,7016.75,0.81617,0.43936,0.92954,0.87793,1,0.92521,0.45751,1.86688,0.87104,1.81984,0.000198125,0.000198125,0.000198125
104,7083.41,0.84009,0.42787,0.93228,0.8777,1,0.9499,0.45982,1.90456,0.83141,1.8535,0.000187813,0.000187813,0.000187813
105,7150.29,0.84713,0.4409,0.9403,0.87938,1,0.94602,0.46016,1.8666,0.82249,1.82016,0.0001775,0.0001775,0.0001775
106,7217,0.81672,0.4424,0.91918,0.87815,1,0.94531,0.44073,1.95392,0.87217,1.89228,0.000167188,0.000167188,0.000167188
107,7283.57,0.84498,0.45475,0.92484,0.8787,1,0.93312,0.43659,1.94037,0.85805,1.88018,0.000156875,0.000156875,0.000156875
108,7350.39,0.8116,0.44738,0.9296,0.87786,1,0.9384,0.44236,1.92899,0.84701,1.88285,0.000146562,0.000146562,0.000146562
109,7417.32,0.80457,0.43571,0.91807,0.87824,1,0.92834,0.41517,1.9379,0.87561,1.90282,0.00013625,0.00013625,0.00013625
110,7484.24,0.83204,0.44086,0.931,0.87753,1,0.91594,0.42993,1.93246,0.88228,1.89642,0.000125938,0.000125938,0.000125938
111,7550.32,0.83557,0.48073,0.95666,0.87653,1,0.92569,0.43295,1.88305,0.84794,1.83839,0.000115625,0.000115625,0.000115625
112,7616.39,0.78768,0.45029,0.94788,0.8766,1,0.91632,0.42037,1.89013,0.8206,1.84641,0.000105312,0.000105312,0.000105312
113,7682.18,0.82412,0.46114,0.94471,0.87902,1,0.92365,0.42276,1.89754,0.79821,1.85603,9.5e-05,9.5e-05,9.5e-05
